id,title,description,price,url,avg_review,image,company,tags,category,github_link,require_license,updated_at,created_at
1620,Shipping Availability Check For Magento 2,Shipping Availability Check For Magento2 :  Shipping availability check module...,59.00,https://store.webkul.com/magento2-zip-code-validator.html,1 Review(s),https://store.webkul.com/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/s/h/shipping-availability-check_1.png,Webkul,"","","",0,2020-05-02 21:07:16,2020-05-02 21:07:16
1621,Food Delivery Marketplace for Magento 2,Food Delivery Marketplace for Magento 2: Now start your own online food delive...,1999.00,https://store.webkul.com/food-delivery-marketplace.html,null,https://store.webkul.com/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/m/a/magento-2-marketplace-food-delivery-app.png,Webkul,"","","",0,2020-05-02 21:07:16,2020-05-02 21:07:16
1622,Magento 2 Mercado Pago Payment Gateway,Magento 2 Mercado Pago Payment Gateway: Mercado Pago is one of the most trust...,199.00,https://store.webkul.com/magento2-mercado-pago-extension.html,null,https://store.webkul.com/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/m/a/magento_2_marketplace_mercadopago_connect_1.png,Webkul,"","","",0,2020-05-02 21:07:16,2020-05-02 21:07:16
1623,Order Split & Merge For Magento 2,Order Split & Merge For Magento 2:Â The module adds OMS (Order Management ...,199.00,https://store.webkul.com/magento2-order-split-merge.html,null,https://store.webkul.com/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/o/r/order-split-and-merge.png,Webkul,"","","",0,2020-05-02 21:07:16,2020-05-02 21:07:16
1624,Point of Sale System for Magento 2 (POS),Point Of Sale System for Magento 2: A complete Web-based POSÂ solution for...,249.00,https://store.webkul.com/Magento2-POS-Point-Of-Sale.html,6 Review(s),https://store.webkul.com/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/p/o/point-of-sale-system.png,Webkul,"","","",0,2020-05-02 21:07:16,2020-05-02 21:07:16
1625,Blog Extension for Magento 2,Blog Extension for Magento 2 : The module enables the Customers to add their p...,99.00,https://store.webkul.com/magento2-blog-extension.html,null,https://store.webkul.com/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/b/l/blog-manager.png,Webkul,"","","",0,2020-05-02 21:07:16,2020-05-02 21:07:16
1626,Magento 2 Hybrid Mobile App,Magento 2 Hybrid Mobile App: Convert your e-commerce store into a hybrid mobil...,299.00,https://store.webkul.com/magento2-hybrid-mobile-app.html,null,https://store.webkul.com/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/h/y/hybrid-mobile-app.png,Webkul,"","","",0,2020-05-02 21:07:16,2020-05-02 21:07:16
1627,Multi Vendor Distance Based Shipping for Magento 2,Magento 2 Marketplace Distance Rate Shipping: The extension allows the sellers...,199.00,https://store.webkul.com/magento2-multi-vendor-distance-rate-shipping.html,null,https://store.webkul.com/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/m/2/m2-marketplace-distance-rate-shipping.png,Webkul,"","","",0,2020-05-02 21:07:16,2020-05-02 21:07:16
1628,Custom Option with Stock and Images for Magento 2,Custom Option with Stock and Images for Magento 2: Custom options with Stock a...,99.00,https://store.webkul.com/magento2-custom-option-stock-images-swatch.html,null,https://store.webkul.com/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/c/u/custom-option-with-stock-and-images.png,Webkul,"","","",0,2020-05-02 21:07:16,2020-05-02 21:07:16
1629,GeoIP Extension for Magento 2,GeoIP Extension for Magento 2: The extension allows the admin to provide a per...,99.00,https://store.webkul.com/magento2-geoip-extension.html,null,https://store.webkul.com/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/g/e/geoip_extension_for_magento_2.png,Webkul,"","","",0,2020-05-02 21:07:16,2020-05-02 21:07:16
1630,Custom Regions for Magento 2,Custom Regions for Magento 2: This module allows the store owner to add state/...,49.00,https://store.webkul.com/magento2-custom-regions.html,null,https://store.webkul.com/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/c/u/custom-regions-for-magento-2.png,Webkul,"","","",0,2020-05-02 21:07:16,2020-05-02 21:07:16
1631,Magento 2 Wallet Extension,Magento 2 Wallet Extension: Wallet System module will allow the customers to m...,199.00,https://store.webkul.com/magento2-wallet-extension.html,1 Review(s),https://store.webkul.com/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/w/a/wallet-system_1_6.png,Webkul,"","","",0,2020-05-02 21:07:16,2020-05-02 21:07:16
1632,Marketplace Royal Mail Shipping For Magento 2,Marketplace Royal Mail Shipping For Magento 2 : This module provides Royal Mai...,199.00,https://store.webkul.com/magento2-multi-vendor-royal-mail.html,null,https://store.webkul.com/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/m/a/marketplace-royal-mail_1.png,Webkul,"","","",0,2020-05-02 21:07:16,2020-05-02 21:07:16
1633,Buy Button for Magento 2,Magento 2 Buy Button: Buy button plugin meant for a store owner to sell produc...,99.00,https://store.webkul.com/magento2-buy-button.html,null,https://store.webkul.com/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/b/u/buy-button.png,Webkul,"","","",0,2020-05-02 21:07:16,2020-05-02 21:07:16
1634,Multi Vendor Marketplace GDPR for Magento 2,"Multi Vendor Marketplace GDPR for Magento 2: Using this marketplace add-on, yo...",99.00,https://store.webkul.com/magento2-multi-vendor-gdpr.html,2 Review(s),https://store.webkul.com/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/m/a/marketplace-gdpr.png,Webkul,"","","",0,2020-05-02 21:07:16,2020-05-02 21:07:16
