id,title,description,price,url,avg_review,image,company,tags,category,github_link,reviewcount,current_version,updated,thirdparty,require_license,pwa_ready,updated_at,created_at
973,Magento 2 Lazy Load,"With loading images by demand, Lazy Load extension for Magento 2 helps you enhance loading page time and improve your website performance",0,https://magepow.com/magento-lazy-load.html,,https://magepow.com/pub/media/catalog/product/cache/38b8b45b16b72ff0ad275898599892d3/l/a/lazy_load_extension_for_magento_2.png,Magepow,,,,,,,,0,0,2022-01-23 01:37:07,2020-04-28 17:10:32
976,Magento Sticky Cart,"Sticky cart Magento extension (Sticky add to cart Extension) provides to customers a convenient add to cart bar so they can add products to cart, view brief of product detail (image, price, quantity,...) quickly.",0,https://magepow.com/magento-sticky-cart.html,,https://magepow.com/pub/media/catalog/product/cache/38b8b45b16b72ff0ad275898599892d3/s/t/sticky_footer.jpg,Magepow,,,,,,,,0,0,2022-01-23 01:37:07,2020-04-28 17:10:32
981,Magento 2 Admin Payment Method,Magento 2 Admin Payment Method extension allows admin to create payment method validated only in the backend. This solution also supports auto-creating invoice and shipment once orders are created.,0,https://bsscommerce.com/magento-2-admin-payment-method-extension.html,1  Reviews,https://bsscommerce.com/pub/media/catalog/product/f/r/free-admin-payment-method-m2.png,BSSCommerce,,,,,,,,0,0,2022-01-23 01:35:51,2020-04-28 19:08:50
984,Magento 2 Admin Shipping Method,Magento 2 Admin Shipping Method extension creates a new shipping method used by the admin only to generate free of shipping cost orders. This optimal Magento 2 shipping extension also features automatically creating invoices and shipments once orders are placed.,0,https://bsscommerce.com/magento-2-admin-shipping-method-extension.html,0  Reviews,https://bsscommerce.com/pub/media/catalog/product/m/2/m2_free_admin_shipping_method.png,BSSCommerce,,,,,,,,0,0,2022-01-23 01:35:51,2020-04-28 19:08:50
1004,Magento 2 Cookie Notice,"According to Data Law, customers should be aware of your websiteâ€™s cookies usage. This is how this extension works: Get cookies consent by customers!",0,https://bsscommerce.com/magento-2-cookie-notice-extension.html,9  Reviews,https://bsscommerce.com/pub/media/catalog/product/c/o/cookie-notice2.png,BSSCommerce,,,,,,,,0,0,2022-01-23 01:35:51,2020-04-28 19:08:50
1010,Magento 2 Custom Product Attribute Export,Custom Product Attribute Export for Magento 2 helps sorting custom attributes in separate columns in CSV file while exporting.,0,https://bsscommerce.com/magento-2-custom-product-attribute-export-extension.html,3  Reviews,https://bsscommerce.com/pub/media/catalog/product/c/u/custom-product-attribute-export-for-magento-2.png,BSSCommerce,,,,,,,,0,0,2022-01-23 01:37:07,2020-04-28 19:08:50
1011,Magento 2 Custom Shipping Method,A solution to add new Magento 2 shipping methods in a simple way,0,https://bsscommerce.com/magento-2-custom-shipping-method-extension.html,0  Reviews,https://bsscommerce.com/pub/media/catalog/product/i/c/icon9.png,BSSCommerce,,,,,,,,0,0,2022-01-23 01:35:51,2020-04-28 19:08:50
1016,Magento 2 Delete Order,"Magento 2 Delete Order Extension is an useful extension for all administrators to delete unwanted orders, invoices, shipments and credit memos from Order Grid in the Magento backend by some simple clicks.",0,https://bsscommerce.com/magento-2-delete-order-extension.html,5  Reviews,https://bsscommerce.com/pub/media/catalog/product/d/e/delete-order-m2.png,BSSCommerce,,,,,,,,0,0,2022-01-23 01:35:51,2020-04-28 19:08:50
1018,Magento 2 Disable Compare,Magento 2 Disable Compare extension provides an absolutely simple and free solution for admin to disable compare functions without code interference.,0,https://bsscommerce.com/magento-2-disable-compare-extension.html,3  Reviews,https://bsscommerce.com/pub/media/catalog/product/d/i/disable-compare.png,BSSCommerce,,,,,,,,0,0,2022-01-23 01:35:51,2020-04-28 19:08:50
1021,Magento 2 Dynamic Html Sitemap,"Make your store more user-friendly, provide your store visitors a convenient overview of the website. At the same time help Search Engines crawl and index data better by spreading the necessary ranking power with internal cross-linking.",0,https://bsscommerce.com/magento-2-dynamic-html-sitemap-extension.html,36  Reviews,https://bsscommerce.com/pub/media/catalog/product/d/y/dynamic-html-sitemap-m2.png,BSSCommerce,,sitemap,,,,,,0,0,2022-01-23 01:35:51,2020-04-28 19:08:50
